===============================================================
Fecha/Hora de ejecución: 2025-12-06 10:40:04
Lenguaje,Tiempo(s),Memoria Inicial,Memoria Final,CPU Inicial,CPU Final,Cantidad de Elementos,Fecha/Hora Prueba
C,2.2128,12261196,13337380,100.00,48.50,10,000,000,2025-12-06 10:39:57
C++,3.1105,12261196,13404068,100.00,56.19,10,000,000,2025-12-06 10:39:58
Python,5.7855,12261196,13040356,100.00,63.82,10,000,000,2025-12-06 10:40:00
Rust,1.7960,12261196,13056832,50.00,99.39,10,000,000,2025-12-06 10:40:01
Kotlin,9.8414,12261196,12520284,28.19,10.86,10,000,000,2025-12-06 10:40:04
===============================================================
===============================================================
Fecha/Hora de ejecución: 2025-12-06 10:41:05
Lenguaje,Tiempo(s),Memoria Inicial,Memoria Final,CPU Inicial,CPU Final,Cantidad de Elementos,Fecha/Hora Prueba
C,1.9311,12350084,13368736,100.00,56.80,10,000,000,2025-12-06 10:41:01
C++,2.4198,12350084,13360852,100.00,34.76,10,000,000,2025-12-06 10:41:02
Kotlin,5.2288,12350084,13026268,100.00,45.84,10,000,000,2025-12-06 10:41:05
Python,5.3295,12350084,12817124,30.30,100.00,10,000,000,2025-12-06 10:41:05
Rust,1.4613,12350084,12730824,100.00,99.26,10,000,000,2025-12-06 10:41:05
===============================================================
